"","Tax","Counts","RA","SampleID"
"1","Bacillus_cereus",1,0.000237812128418549,"Z4_16S"
"2","Carnobacterium_inhibens",3,0.000713436385255648,"Z4_16S"
"3","Enterococcus_faecalis",2,0.000475624256837099,"Z4_16S"
"4","Enterococcus_faecium",20,0.00475624256837099,"Z4_16S"
"5","Enterococcus_rotai",1,0.000237812128418549,"Z4_16S"
"6","Enterococcus_villorum",1,0.000237812128418549,"Z4_16S"
"7","Lactobacillus_amylolyticus",2,0.000475624256837099,"Z4_16S"
"8","Lactobacillus_brevis",54,0.0128418549346017,"Z4_16S"
"9","Lactobacillus_buchneri",242,0.0575505350772889,"Z4_16S"
"10","Lactobacillus_casei",1631,0.387871581450654,"Z4_16S"
"11","Lactobacillus_delbrueckii",56,0.0133174791914388,"Z4_16S"
"12","Lactobacillus_fermentum",1170,0.278240190249703,"Z4_16S"
"13","Lactobacillus_gasseri",5,0.00118906064209275,"Z4_16S"
"14","Lactobacillus_ginsenosidimutans",43,0.0102259215219976,"Z4_16S"
"15","Lactobacillus_hokkaidonensis",9,0.00214030915576694,"Z4_16S"
"16","Lactobacillus_johnsonii",1,0.000237812128418549,"Z4_16S"
"17","Lactobacillus_kunkeei",3,0.000713436385255648,"Z4_16S"
"18","Lactobacillus_mucosae",5,0.00118906064209275,"Z4_16S"
"19","Lactobacillus_oris",30,0.00713436385255648,"Z4_16S"
"20","Lactobacillus_paracasei",625,0.148632580261593,"Z4_16S"
"21","Lactobacillus_pentosus",4,0.000951248513674197,"Z4_16S"
"22","Lactobacillus_plantarum",22,0.00523186682520809,"Z4_16S"
"23","Lactobacillus_rhamnosus",73,0.0173602853745541,"Z4_16S"
"24","Lactobacillus_ruminis",3,0.000713436385255648,"Z4_16S"
"25","Lactobacillus_sakei",2,0.000475624256837099,"Z4_16S"
"26","Lactobacillus_salivarius",50,0.0118906064209275,"Z4_16S"
"27","Leuconostoc_citreum",1,0.000237812128418549,"Z4_16S"
"28","Leuconostoc_lactis",3,0.000713436385255648,"Z4_16S"
"29","Pediococcus_claussenii",69,0.0164090368608799,"Z4_16S"
"30","Pediococcus_pentosaceus",73,0.0173602853745541,"Z4_16S"
"31","Tetragenococcus_halophilus",1,0.000237812128418549,"Z4_16S"
