"9","Lactobacillus_casei",1459,0.361049245236328,"Z3_16S"
"11","Lactobacillus_fermentum",1113,0.275426874536006,"Z3_16S"
"19","Lactobacillus_paracasei",580,0.143528829497649,"Z3_16S"
"10","Lactobacillus_delbrueckii",217,0.0536995793120515,"Z3_16S"
"8","Lactobacillus_buchneri",172,0.042563721851027,"Z3_16S"
"21","Lactobacillus_plantarum",95,0.0235090324177184,"Z3_16S"
"23","Lactobacillus_rhamnosus",69,0.0170749814402376,"Z3_16S"
"7","Lactobacillus_brevis",54,0.0133630289532294,"Z3_16S"
"32","Pediococcus_pentosaceus",46,0.0113833209601584,"Z3_16S"
"31","Pediococcus_claussenii",40,0.00989853996535511,"Z3_16S"
